B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
1,1,1,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1
0,0,1,0,1,1,1,1,1,1
1,1,0,0,1,1,1,0,1,1
1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0
0,1,0,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
0,1,1,0,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1,0
0,1,1,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
0,0,1,0,1,1,1,1,1,1
1,1,0,0,1,0,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,0,0,0,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
0,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,0,1,0,1,0,0,1,1
1,1,0,0,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1
1,0,1,0,1,1,1,1,1,1
1,1,0,1,1,0,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,1,1,1,0,1,1
1,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1
1,1,0,0,1,0,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,1,1
1,1,1,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1,0
1,1,0,0,1,1,0,1,1,0
1,0,1,0,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0,1
0,1,0,1,0,0,1,1,1,0
1,1,0,1,1,1,1,1,1,1
1,0,1,0,1,1,1,1,1,1
1,0,0,0,1,0,1,1,1,0
1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,1,1
1,1,1,0,0,0,1,1,1,1
1,1,0,1,0,1,1,1,1,1
1,1,0,0,1,1,1,0,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,0,0,0,1,1,0,1,1,1
1,1,0,0,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1
1,1,0,0,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0,1
1,1,0,0,0,1,1,1,1,1
1,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,0,0,1
1,0,1,0,1,1,1,1,1,1
1,0,0,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,0
1,1,0,1,0,0,1,1,0,1
1,1,0,0,0,0,1,1,1,1






